Cap Number,Player Name,Team Name,Batting Hand,Mat,Inns,Runs,Balls,Hig hest,N/O,Avg,SR,4s
1,Kitty,MORARJI SHINING STARS 2020,RHB,6,6,147,71,39*,2,36.75,207.04,35
2,Vinay Mdrs,MORARJI SHINING STARS 2020,RHB,6,6,46,37,16,2,11.5,124.32,11
3,Kiran Naik,MORARJI BLASTERS 2014,RHB,6,5,45,30,18*,2,15,150,10
4,Pramo d D,MORARJI MONSTERS 2013,RHB,3,3,42,30,25*,2,42,140,10
5,Yo g i,MORARJI SHINING STARS 2020,RHB,6,6,34,28,17,2,8.5,121.43,8
6,Yo g esh,MORARJI ROYALS 2011,LHB,3,3,33,30,25*,1,16.5,110,8
7,Vijay Kumar Gb,MORARJI TIGERS 2009,RHB,3,3,32,23,12,1,16,139.13,7
8,Subhash S,MORARJI LEGENDS 2012,RHB,6,5,32,26,16*,1,8,123.08,8
9,Kumar Naik,MORARJI WARRIORS 2008,RHB,3,3,29,20,20*,1,14.5,145,6
10,Prajwal Gs,MORARJI AVENGERS 2023,LHB,6,6,29,26,18*,2,7.25,111.54,6
11,Byraj G K,MORARJI BLASTERS 2014,RHB,6,3,27,14,13*,2,27,192.86,5
12,Darshan Chichi,MORARJI EGALES 2018,RHB,3,3,24,25,12,0,8,96,6
13,Manja Nayak,MORARJI LEGENDS 2012,RHB,6,5,22,20,13,0,4.4,110,5
14,Rajesh K S,MORARJI HITTERS 2006-2007,RHB,2,2,21,14,17,1,21,150,5
15,Adduri Asho k,MORARJI WARRIORS 2008,RHB,3,3,21,21,17,0,7,100,4
16,Shashank,MORARJI BLASTERS 2014,RHB,6,4,21,15,16,2,10.5,140,4
17,Adarsh Gs,MORARJI AVENGERS 2023,RHB,6,3,20,9,16*,1,10,222.22,5
18,Gang adhar,MORARJI LEGENDS 2012,RHB,6,5,20,18,8,0,4,111.11,4
19,Vino d,MORARJI CAPITALS,RHB,3,2,18,9,18,0,9,200,3
20,Kammu,MORARJI WARRIORS 2008,RHB,3,3,18,12,8*,3,-,150,4
21,Arun,MORARJI CAPITALS,RHB,2,2,17,16,16*,1,17,106.25,4
22,Sag ar,MORARJI BLASTERS 2014,RHB,6,4,17,20,11*,3,17,85,2
23,Pradeep Kumar B L,MORARJI TIGERS 2009,RHB,3,3,16,16,16*,1,8,100,4
24,Keerthi,MORARJI BLASTERS 2014,RHB,6,2,14,8,8*,2,-,175,3
25,Jayanth Js,MORARJI LEGENDS 2012,RHB,6,3,14,16,9,2,14,87.5,3
26,Dharmesh,MORARJI KINGS 2026,RHB,3,3,14,7,10,1,7,200,3
27,Shivamadhu T P,MORARJI AVENGERS 2023,RHB,6,4,14,15,8,1,4.67,93.33,3
28,Santo sh Naik,MORARJI LEGENDS 2012,LHB,6,5,14,22,8,0,2.8,63.64,3
29,Kisho re Naik,MORARJI LEGENDS 2012,RHB,6,6,14,12,8,2,3.5,116.67,3
